Artwork,Description,link,img,Artist,Date Start,Date End,Venue,Latitude,Longitude,360 stream/record?,link,Open Entry
Forever Me,"A beautiful cube made up of 220 smaller boxes. Tell your own story or listen
to others. What would you like to leave the world after you’re gone?",http://www.lostweekend.co.uk/event/forever-me-by-becca-gill-of-mercurial-wrestler/,http://www.lostweekend.co.uk/wp-content/uploads/2017/07/6-8-October-Art-Forever-Me-300x160.jpg,"Mercurial Wrestler, commissioned by Kaleider",2017-10-06T12:00:00,2017-10-06T18:00:00,"Princesshay, Bedford Square",50.72376145,-3.528500441,record,,
Forever Me,,,,,2017-10-07T10:00:00,2017-10-07T18:00:00,,,,,,
Forever Me,,,,,2017-10-08T10:00:00,2017-10-08T16:00:00,,,,,,
The Cardboard Arcade,"A suite of travelling arcade machines made out of cardboard. Inside is a
computer, a monitor and a game.",http://www.lostweekend.co.uk/event/3473/,http://www.lostweekend.co.uk/wp-content/uploads/2017/07/Cardboard-Arcade-300x160.jpg,Unstable King,2017-10-06T20:00:00,2017-10-06T22:00:00,The Quay,50.71694296,-3.530347645,record,,
The Cardboard Arcade,,,,,2017-10-07T11:00:00,2017-10-07T16:00:00,,,,,,
The Cardboard Arcade,,,,,2017-10-08T11:00:00,2017-10-08T16:00:00,,,,,,
Circadial,"In Circadial, Sleepdogs have made field recordings of Exeter, which are
spliced, stretched and warped to turn the sounds of the city into improvised
music made entirely from atmospheric sound",http://www.lostweekend.co.uk/event/sleepdogs-perform-circadial/,http://www.lostweekend.co.uk/wp-content/uploads/2017/07/6-8-October-Art-Circadial-300x160.jpg,Sleepdogs,2017-10-08T14:00:00,2017-10-08T15:30:00,The Cavern,50.72457531,-3.531832583,Nope.,,
Buoyed,Magical glass buoys that speak when you get close to them.,http://www.lostweekend.co.uk/event/buoyed-by-dr-louisa-evans-dr-rachel-turner-daniel-marcus-clark-jay-kerry-kaleider-2/,http://www.lostweekend.co.uk/wp-content/uploads/2017/07/Buoyed.jpg,"Dr Louisa Evans, Dr Rachel Turner, Jay Kerry, Daniel Marcus Clark, South Coast fishing communities, Kaleider",2017-10-06T16:00:00,2017-10-06T19:00:00,Rougemont Gardens,50.72571188,-3.530538082,record,,
Buoyed,,,,,2017-10-07T12:00:00,2017-10-07T18:00:00,,,,,,
Buoyed,,,,,2017-10-08T12:00:00,2017-10-08T16:00:00,,,,,,
Listening Trees,"Find a special bench that can connect you to someone sitting on a bench
somewhere else!",http://www.lostweekend.co.uk/event/listening-trees-by-kaleider-mercurial-wrestler/,http://www.lostweekend.co.uk/wp-content/uploads/2017/07/6-8-october-Arts-Listening-Tree-300x160.jpg,"A Mercurial Wrestler, Kaleider co-production",2017-10-06T10:00:00,2017-10-06T18:00:00,Cathedral Green,50.72292146,-3.530357368,record,,
Listening Trees,,,,,2017-10-07T10:00:00,2017-10-07T18:00:00,,,,,,
Listening Trees,,,,,2017-10-08T10:00:00,2017-10-08T18:00:00,,,,,,
Choral Cuisine,"Choral Cuisine will see 50 diners collectively composing a symphony whilst
sitting down to a delicious brunch.",http://www.lostweekend.co.uk/event/choral-cuisine-by-sabrina-shirazi-and-wilf-petherbridge/,http://www.lostweekend.co.uk/wp-content/uploads/2017/07/6-8-october-Art-Choral-Cuisine-300x160.jpg,Sabrina Shirazi & Wilf Petheridge,2017-10-08T10:30:00,2017-10-08T13:00:00,Guildhall,50.72335563,-3.531767372,record,,
 Smile,"Projected, animated prints drawn by Catherine Cartwright, of young people
from Ellen Tinkham College.",http://www.lostweekend.co.uk/event/smile-by-catherine-cartwright/,http://www.lostweekend.co.uk/wp-content/uploads/2017/07/6-8-October-Art-Smile-by-Catherine-Cartwright.jpg,Catherine Cartwright,2017-10-06T19:00:00,2017-10-06T22:00:00,"Dodo, New Bridge Street",50.71993374,-3.536054464,Nope,,
 Smile,,,,,2017-10-07T19:00:00,2017-10-07T22:00:00,,,,,,
 Smile,,,,,2017-10-08T19:00:00,2017-10-08T22:00:00,,,,,,
Musical Fun!,"A musical installation incorporating music technology, multi-instrumental
composition, five three-foot helium balloons, and buckets upon buckets of
balls.",http://www.lostweekend.co.uk/event/noise-platforms-by-david-sawyer/,http://www.lostweekend.co.uk/wp-content/uploads/2017/08/Noiseplatforms-300x160.jpg,David Sawyer (Noise Platforms) and Timothy Tate (The Sonic Balloon),2017-10-06T16:00:00,2017-10-06T18:00:00,"PS45, Preston Street",50.72003817,-3.533763858,stream/record,,
Musical Fun!,,,,,2017-10-07T10:00:00,2017-10-07T18:00:00,,,,,,
Musical Fun!,,,,,2017-10-08T10:00:00,2017-10-08T16:00:00,,,,,,
Massively (local) Multiplayer Gaming,"You, the audience are in control. Use your mobile phone to play Mario &amp;
Pacman on the big screen.",http://www.lostweekend.co.uk/event/massively-local-multiplayer-gaming-by-kris-sum/,http://www.lostweekend.co.uk/wp-content/uploads/2017/07/6-8-October-Arts-Massively-Local-Multiplayer-Gaming-300x160.jpg,Kris Sum of Tech Exeter,2017-10-07T17:00:00,2017-10-07T19:00:00,Cathedral Green,50.72292146,-3.530357368,Nope,,
"Come, Battle The Screenless PlayStation Game ","Running around outside holding a light-up controller you must protect your
King and discover the traitor while you carefully listen to the music for clues.",http://www.lostweekend.co.uk/event/come-battle-the-screenless-playstation-game/,http://www.lostweekend.co.uk/wp-content/uploads/2017/07/Screenless-Playstation.jpg,Andy Robertson of FamilyGamerTV,2017-10-07T17:00:00,2017-10-07T19:00:00,Cathedral Green,50.72292146,-3.530357368,Nope,,
BellHouse,A playful sound sculpture: make some moves and hear the bells chime,http://www.lostweekend.co.uk/wp-content/uploads/2017/07/Screenless-Playstation.jpg,http://www.lostweekend.co.uk/wp-content/uploads/2017/07/6-8-October-Art-Bellhouse.jpg,Roop Johnstone,2017-10-06T12:00:00,2017-10-06T17:00:00,Exeter Library,50.72511527,-3.530341275,stream/record,,
BellHouse,,,,,2017-10-07T10:00:00,2017-10-07T17:00:00,,,,,,
BellHouse,,,,,2017-10-08T11:00:00,2017-10-08T16:00:00,,,,,,
